#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;;;;;;;;;;;;x
VIETmisc.8000.a;We were so young and innocent.;;;;;;;;;;;;x
VIETmisc.8001.desc;I idly sit at court one day when I see one of my young servants staring across the hall at one of my maids for far too long. She notices and looks at him, confused. He immediately jerks his head away, embarrassed, awkwardly avoiding her gaze. It's old news that he finds her attractive but hasn't worked up the courage to tell her, and she is too oblivious to know any better.;;;;;;;;;;;;x
VIETmisc.8001.a;He will find courage soon, or she a brain. It'll work out.;;;;;;;;;;;;x
VIETmisc.8001.b;Silly boy and girl. Fanciful, stupid, fleeting feelings.;;;;;;;;;;;;x
VIETmisc.8001.c;Ah, youth!;;;;;;;;;;;;x
VIETmisc.8001.d;I sympathize with him. People are scary.;;;;;;;;;;;;x
VIETmisc.8001.b.tooltip;It's not like I was in love with anyone that way or anything like that.;;;;;;;;;;;;x
VIETmisc.8002.desc;I don't know why, but I am feeling quite happy and inspired today.;;;;;;;;;;;;x
VIETmisc.8002.a;It's a good feeling!;;;;;;;;;;;;x
VIETmisc.8003.desc;I saw a crab in the mud the other day.;;;;;;;;;;;;x
VIETmisc.8003.a;Horrible creatures! I avoid them whenever I can.;;;;;;;;;;;;x
VIETmisc.8004.desc;I am in town one day when I hear a guard shout, "STOP, YOU VIOLATED THE LAW!"\n\nWith superhuman speed, he catches a thief and drags the criminal to jail.;;;;;;;;;;;;x
VIETmisc.8004.a;Most remarkable!;;;;;;;;;;;;x
VIETmisc.8004.b;Impressive. Reward the guard for this.;;;;;;;;;;;;x
VIETmisc.8004.c;I like him. Why don't we bring him to my court?;;;;;;;;;;;;x
VIETmisc.8005.desc;I did not approve of what [target_VIET_inappropriate_courtier.GetFullName] said. It was vulgar and inappropriate for the situation.;;;;;;;;;;;;x
VIETmisc.8005.a;I made my stance clear. How disappointing!;;;;;;;;;;;;x
VIETmisc.8005.b;I hinted it might have been unsuitable.;;;;;;;;;;;;x
VIETmisc.8005.c;I did not say anything for now.;;;;;;;;;;;;x
VIETmisc.8006.desc;A bridge in [Root.GetName] has recently collapsed. As a major thoroughfare connecting various villages in the region, we must fix it as soon as possible.;;;;;;;;;;;;x
VIETmisc.8006.a;Send in emergency resources immediately!;;;;;;;;;;;;x
VIETmisc.8006.b;Do whatever is necessary.;;;;;;;;;;;;x
VIETmisc.8006.c;The locals can take care of it themselves.;;;;;;;;;;;;x
VIET_bridge_fix_sooner;\nThe bridge is fixed in a quick timeframe.;;;;;;;;;;;;x
VIET_bridge_fix_okay;\nThe bridge is fixed in a reasonable timeframe.;;;;;;;;;;;;x
VIET_bridge_fix_bad;\nThe bridge takes a long while to get fixed.;;;;;;;;;;;;x
VIETmisc.8007.desc;The sky over [Root.GetName] turned several colors at once, unnatural hues of purple, red, green, blue, pink, and more. This lasted many days and though there were no known effects, the inhabitants of the region are bewildered. None of the local learned men nor mystics could explain this phenomenon.;;;;;;;;;;;;x
VIETmisc.8007.a;Who knows what mysterious forces are at play here?;;;;;;;;;;;;x
VIET_famous_bard_settles;The bard settles down in your lands.;;;;;;;;;;;;x
VIETmisc.8008.desc;A famous bard has settled down in [Root.GetName]. Though his music and singing is sublime, he refuses to perform for the wealthy and powerful, even when offered exorbitant amounts of riches. Instead, he prefers to entertain the poor and the masses, inspiring and uplifting them.;;;;;;;;;;;;x
VIETmisc.8008.a;He shall be arrested for his insolence!;;;;;;;;;;;;x
VIETmisc.8008.b;If he wishes to associate with commoners, so be it.;;;;;;;;;;;;x
VIETmisc.8008.c;I can understand his reasons in all honesty.;;;;;;;;;;;;x
VIETmisc.8009.desc;Disturbing reports from [Root.GetName]. A mysterious wooden ship has been spotted floating in the sky along the far horizon in several areas along the coast. The few ships that tried to approach could never reach it, and it does not fly the flag or banner of any known peoples. Wherever it was spotted, locals reported hearing strange, whistling noises, like a faint, screeching wind, in the night for several weeks afterwards.;;;;;;;;;;;;x
VIETmisc.8009.a;Alarming apparitions....;;;;;;;;;;;;x
VIETmisc.8009.b;Probably just some peasant hysteria.;;;;;;;;;;;;x
VIETmisc.8010.desc;A peasant in [Root.GetName] got lost recently while trekking near the wilderness. She came across a flat, vertical stone surface where the ancient rulers of the region carved various images and inscriptions. After she reported this to the local officials, you sent in people to investigate and it appears this stone is the last remnants of an imposing ancient monument! The stone can't be re-used, so it must stand where it is, perhaps for all eternity.;;;;;;;;;;;;x
VIETmisc.8010.a;Quite a sight to behold!;;;;;;;;;;;;x
VIETmisc.8010.b;Heathen symbol. Discourage people from visiting it.;;;;;;;;;;;;x
VIETmisc.8010.c;This is a holy place - build an altar near it.;;;;;;;;;;;;x
VIETmisc.8010.d;Send a few antiquitarians to study it.;;;;;;;;;;;;x
VIETmisc.8011.desc;A sandstorm recently swept through [Root.GetName] at a most inopportune time. A large number of people perished, including some soldiers who were on patrol. Furthermore, there was some damage to local infrastructure and buildings.;;;;;;;;;;;;x
VIETmisc.8011.a;Troubling news.;;;;;;;;;;;;x
VIETmisc.8012.desc;You spot two of your courtiers talking one day. Having nothing to do at that particular moment, you walk up to them, but when they notice you they immediately stop their conversation. "Is something wrong?" you ask.\n\n"Nothing," one of them says, as the other one raises an eyebrow.;;;;;;;;;;;;x
VIETmisc.8012.a;Suspicious. Very suspicious....;;;;;;;;;;;;x
VIETmisc.8012.b;This is awkward.;;;;;;;;;;;;x
VIETmisc.8012.c;Sounds good!;;;;;;;;;;;;x
VIETmisc.8012.d;I'll apologize - I'm sure they had their reasons.;;;;;;;;;;;;x
VIETmisc.8013.desc;Someone is asking me for recommendations for good reading. By coincidence, just yesterday I finished reading a wonderful book. I enjoyed it greatly and would recommend to a lot of people. Specifically, the story is a...;;;;;;;;;;;;x
VIETmisc.8013.a;Sappy, dramatic romance about true love.;;;;;;;;;;;;x
VIETmisc.8013.b;Gritty, dark tale with bloodshed and deviancy.;;;;;;;;;;;;x
VIETmisc.8013.c;Fantastical adventure to foreign lands.;;;;;;;;;;;;x
VIETmisc.8013.d;Collection of amusing anecdotes about daily life.;;;;;;;;;;;;x
VIETmisc.8014.desc;I am entertaining some important members of a nearby city today - they include high ranking officials, merchants, scholars, and more. I notice among them is a young man, handsome and of good heart, yet clearly forlorn and disturbed. "Let him be," one of his companions whispers to me. "He is melancholy because of a woman!";;;;;;;;;;;;x
