#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIETmisc.9010.desc;I meet a local merchant during a banquet. He is somewhat elderly, and lived in Brazilia for many years as a young man. He is entertaining me with many tales of his experiences, but there was one person he spoke of who stood out to me. Specifically, the...;;;;;;;;;;;;x
VIETmisc.9010.a;Courtesan;;;;;;;;;;;;x
VIETmisc.9010.b;Poet;;;;;;;;;;;;x
VIETmisc.9010.c;Soldier;;;;;;;;;;;;x
VIETmisc.9010.d;Official;;;;;;;;;;;;x
VIETmisc.9011.tooltip; \n\n"Never have I met such a woman before. How many a man must have wished to take her as his wife or concubine! How many must have had their hearts broken.";;;;;;;;;;;;x
VIETmisc.9011.title;The Courtesan;;;;;;;;;;;;x
VIETmisc.9011.desc;She was beautiful and well-read, he said, but also quite brave and assertive, like a number of Brazilian women he met. She could play polo just as well as any of the men, and was often found riding a horse. One time, the merchant recalls, with a smile on his face, she was singing for a party and a drunk patron insulted her music, so she proceeded to beat him up.\n\nShe had many suitors, but no one seemed to impress her enough. It was even rumored she refused to bed any man, no matter the price offered. The merchant says she was still unmarried - and proudly so - when he left Brazilia. He did hear that she finally settled on marrying a poor and humble scholar, who impressed her with his kind, intelligent, and courageous nature, but he doesn't know how true this is.;;;;;;;;;;;;x
VIETmisc.9011.a;An admirable gal! We need more women like her.;;;;;;;;;;;;x
VIETmisc.9011.b;I can't imagine how beautiful and enchanting she must have been.;;;;;;;;;;;;x
VIETmisc.9011.c;Such violent seductresses are a threat to society.;;;;;;;;;;;;x
VIETmisc.9012.tooltip; \n\n"A most ridiculous fellow in some ways, yet also, in a way, one of the wisest men I've ever met. Even now I think his poetry must have been divinely inspired.";;;;;;;;;;;;x
VIETmisc.9012.title;The Poet;;;;;;;;;;;;x
VIETmisc.9012.desc;He was an odd man, the merchant recalls. He eschewed the life of a government official even though he was considered one of the most brilliant men ever, and instead dedicated his life to writing poetry and always getting drunk.\n\nRumor has it that he recently died while he was drunk one night, and he mistook the moon for a beautiful woman - reaching out to the moon's reflection in a lake, he fell in and drowned. The merchant wouldn't be surprised if this rumor was true.;;;;;;;;;;;;x
VIETmisc.9012.a;A curious man indeed, but sometimes eccentricity makes better poetry.;;;;;;;;;;;;x
VIETmisc.9012.b;Poetry is overrated, especially by self-indulgent types like that man.;;;;;;;;;;;;x
VIETmisc.9013.tooltip; \n\n"It is a sad tale, but also another sign about how the ways of heaven are mysterious. A man can be at the top of the world one day, and the bottom the next - or vice versa.";;;;;;;;;;;;x
VIETmisc.9013.title;The Soldier;;;;;;;;;;;;x
VIETmisc.9013.desc;He was once a prestigious captain of the imperial guard, a loyal servant of the Emperor. But when a new Emperor came to power, he was framed as one of the accomplices behind an attempted coup.\n\nHe was extremely lucky to escape with his life, but he lost everything, and even his wife left him. When the merchant met him, the once respected guard was reduced to becoming an entertainer, showing off his martial skills in the market for money.;;;;;;;;;;;;x
VIETmisc.9013.a;How the mighty fall. A sad story.;;;;;;;;;;;;x
VIETmisc.9014.tooltip; \n\n"I have always heard of stories about Brazilian officials who were loyal to their masters, sometimes to death.";;;;;;;;;;;;x
VIETmisc.9014.title;The Official;;;;;;;;;;;;x
VIETmisc.9014.desc;He was a righteous official who served a governor who was a debauched young man. He did not deserve the title, but inherited the position from his father thanks to corruption. He was obsessed with Iranian women, as many foreigners lived in his city. He kept many in his harem whom he spent day and night copulating with, and he also wasted money on aphrodisiacs and herbs to extend his sexual prowess.\n\nThe official tried to dissuade his master to no avail and the governor was killed by a jilted concubine. This official escaped to live the life of a commoner, where he met the merchant. The merchant adds that the official always disliked Persian women after that.;;;;;;;;;;;;x
VIETmisc.9014.a;The man must feel bitter about life, but at least he didn't die.;;;;;;;;;;;;x
VIETmisc.9014.b;I am interested in hearing about the governor's harem...;;;;;;;;;;;;x
VIETmisc.9015.tooltip;xxxxx;;;;;;;;;;;;x
VIETmisc.9015.title;The Prisoner;;;;;;;;;;;;x
VIETmisc.9015.desc;I am in the realm of dreams, floating through colors and sounds my consciousness cannot comprehend. After some amount of time - a second, an hour, centuries, I cannot tell - I find myself as a prisoner in a dark dungeon. I hear nothing but the dripping of water, and the snide taunts from another prisoner in another jail cell far, far away.;;;;;;;;;;;;x
VIETmisc.9015.a;Where am I... who am I?;;;;;;;;;;;;x
VIETmisc.9016.tooltip;Wait - what's that noise?;;;;;;;;;;;;x
VIETmisc.9016.title;Confusion;;;;;;;;;;;;x
VIETmisc.9016.desc;Several people suddenly enter the cell. Most are heavily armed, guards of some sort. The odd one out is an elderly man, dressed in regal clothing. They are all surprised to see me in the cell, but after the initial shock tell me to keep your distance, and I wisely step back.\n\nThe old man gazes upon me, his eyes pensive and wise. His voice is deep and comforting as he exclaims, "You... I've seen you! Let me see your face.";;;;;;;;;;;;x
VIETmisc.9016.a;What's going on?;;;;;;;;;;;;x
VIETmisc.9017.tooltip;He examines me for a moment or two, before a sudden, sad look overtakes him.;;;;;;;;;;;;x
VIETmisc.9017.title;Fate Calling;;;;;;;;;;;;x
VIETmisc.9017.desc;"You are the one from my dreams! Then the stars were right, and this is the day. [Root.Religion.GetHighGodName] give me strength." He sighs, and he explains when I look confused, "Assassins attacked my sons, and I'm next. My guards are leading me out of the city along a secret escape route. By chance, the entrance to that escape route leads through your cell.";;;;;;;;;;;;x
VIETmisc.9017.a;Why am I in jail?;;;;;;;;;;;;x
VIETmisc.9018.tooltip;I am not a lowly prisoner!;;;;;;;;;;;;x
VIETmisc.9018.title;The Emperor;;;;;;;;;;;;x
VIETmisc.9018.desc;"Perhaps [Root.Religion.GetHighGodName] placed you here so that we may meet. As for what you have done... it does not matter. That is not what you will be remembered for." He realizes his rudeness, and introduces himself. "I am the Emperor of this realm. By the grace of [Root.Religion.GetHighGodName], I serve this realm as her ruler. You, too, shall serve her in your own way."\n\nHis guards plead him to get moving, and he agrees, as long as I accompany him through the secret escape route.;;;;;;;;;;;;x
VIETmisc.9018.a;I have no other option. At least this ‘Emperor' seems wise and benevolent.;;;;;;;;;;;;x
VIETmisc.9019.tooltip;I follow him and his guards through dark tunnels. The atmosphere is unsurprisingly tense.;;;;;;;;;;;;x
VIETmisc.9019.title;Trust in Fate;;;;;;;;;;;;x
VIETmisc.9019.desc;The guards don't seem to trust me as we travel through the dimly lit tunnels and sewers, but I don't blame them. The Emperor tells me, "They cannot understand why I trust you. They've not seen what I've seen. How can I explain? Listen. You know [Root.Religion.GetHighGodName]? How our fates are guided with an invisible hand by [Root.Religion.GetHighGodName]?";;;;;;;;;;;;x
VIETmisc.9019.a;[Root.Religion.GetHighGodName] guides and protects us.;;;;;;;;;;;;x
VIETmisc.9019.b;I'm not on good terms with [Root.Religion.GetHighGodName].;;;;;;;;;;;;x
VIETmisc.9019.c;I don't know. I don't think about it.;;;;;;;;;;;;x
VIETmisc.9020.tooltip; \n\nHe smiles gently at my answer as if he knows the truth.;;;;;;;;;;;;x
VIETmisc.9020.title;Sky Above, Voice Within;;;;;;;;;;;;x
VIETmisc.9020.desc;"I've served [Root.Religion.GetHighGodName] all my days," he explains, "and I chart my course by the cycles of the heavens. The skies are marked with numberless sparks, each a fire, and every one a sign. The signs I read show the end of my path. My death, a necessary end, will come when it will come.";;;;;;;;;;;;x
VIETmisc.9020.a;Aren't you afraid to die?;;;;;;;;;;;;x
VIETmisc.9021.tooltip;His gentle smile becomes a little melancholy again. Up ahead, his guards check to see if the coast is clear.;;;;;;;;;;;;x
VIETmisc.9021.title;Flesh and Blood;;;;;;;;;;;;x
VIETmisc.9021.desc;The flicker of a nearby torch distracts me for a moment, as he contemplates his answer. Eventually, he says, "No trophies of my triumphs precede me. But I have lived well, and my ghost shall rest easy. Men are but flesh and blood. They know their doom, but not the hour. In this I am blessed to see the hour of my death... To face my apportioned fate, then fall."\n\nAn... interesting way to put it. I decide to ask him another question.;;;;;;;;;;;;x
VIETmisc.9021.a;Where are we going, by the way?;;;;;;;;;;;;x
VIETmisc.9022.tooltip;He gazes ahead, a distant look in his eyes.;;;;;;;;;;;;x
VIETmisc.9022.title;A Shrill Tongue;;;;;;;;;;;;x
VIETmisc.9022.desc;"I go to my grave," he says without any sign of fear. "A tongue shriller than all the music calls me. You shall follow me yet for a while, then we must part."\n\nWe continue a little longer, until a scuffle is heard up ahead. It's a trap! One of the guards gives me a sword and tells me, "Take my spare blade! Protect the Emperor with your life!";;;;;;;;;;;;x
VIETmisc.9022.a;Wait! Wait!;;;;;;;;;;;;x
VIETmisc.9023.tooltip;The guard rushes off to join his comrades as several assassins enter the tunnel some distance ahead, seemingly out of nowhere. I steady my sword, and look around, making sure no one comes close to the Emperor.;;;;;;;;;;;;x
VIETmisc.9023.title;Jaws of Oblivion;;;;;;;;;;;;x
VIETmisc.9023.desc;The Emperor looks upon me with urgency. "I can go no further. My guards are strong and true, but even their might cannot stand against the power that rises to destroy all reality. An ancient evil awakes, born anew in blood and fire. These cutthroats are but its mortal pawns. They must not have my amulet! Take the Amulet. Give it to my old chief advisor. He alone knows where to find my last son. Find him, and close shut the marbled gates to hell."\n\nHe takes the amulet off and solemnly hands it over.;;;;;;;;;;;;x
VIETmisc.9023.a;;;;;;;;;;;;;x
VIETmisc.9023.b;I won't forget you.;;;;;;;;;;;;x
VIETmisc.9023.c;I'll take it from here!;;;;;;;;;;;;x
VIETmisc.9024.tooltip.a; \n\n"Stand true, my friend. May your heart be your guide and [Root.Religion.GetHighGodName] grant you strength.";;;;;;;;;;;;x
VIETmisc.9024.tooltip.b; \n\n"Remember me, and remember my words. This burden is now yours alone. You hold our future in your hands.";;;;;;;;;;;;x
VIETmisc.9024.tooltip.c; \n\n"Then go. Take with you my blessings and the hope of the empire.";;;;;;;;;;;;x
VIETmisc.9024.title;Life and Death;;;;;;;;;;;;x
VIETmisc.9024.desc;An assassin appears as if out of thin air, and it is too late for me to react as he strikes the Emperor down. Time seems to stand still as the assassin looks at me through his red hood and black mask. He lunges at me, but I land a fatal blow to the scoundrel.\n\nI look around. Though all the assassins are dead, only one guard survived, a young man with a serious but friendly face.;;;;;;;;;;;;x
VIETmisc.9024.a;His expression changes as he sees the Emperor's body.;;;;;;;;;;;;x
VIETmisc.9025.tooltip;He approaches me, his face full of grief and disbelief.;;;;;;;;;;;;x
VIETmisc.9025.title;Hope?;;;;;;;;;;;;x
