#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIET_awkward_encounter_public;Awkward Encounter in Public;;;;;;;;;;;;x
VIET_awkward_encounter_public_desc;This character recently did something awkward in public, and not only that, everyone is gossiping about it!;;;;;;;;;;;;x
VIET_constant_muslim_fasting;Frequent Fasting;;;;;;;;;;;;x
VIET_constant_muslim_fasting_desc;This pious Muslim fasts every now and then, even when it isn't Ramadan!;;;;;;;;;;;;x
VIET_remembering_childhood_love;Remembering Childhood Love;;;;;;;;;;;;x
VIET_remembering_childhood_love_desc;We were so young, so innocent... and even now, so many years later, the memories of the laughter and joy we shared haunt me.;;;;;;;;;;;;x
VIET_eating_baklava;Ate Baklava;;;;;;;;;;;;x
VIET_eating_baklava_desc;This character recently had the good fortune of eating some of the most delicious baklava around.;;;;;;;;;;;;x
VIET_rewarded_oblivion_guard;Rewarded Dutiful Guard;;;;;;;;;;;;x
VIET_rewarded_oblivion_guard_desc;This ruler recently witnessed dutiful guard performing their duties most admirably, and rewarded them.;;;;;;;;;;;;x
VIET_was_oblivion_guard;Was Dutiful Town Guard;;;;;;;;;;;;x
VIET_was_oblivion_guard_desc;This character had humble origins as a town guard, but the experience was very formative to their zealous sense of justice.;;;;;;;;;;;;x
VIET_opinion_publically_chastised_me;Publically Chastised Me;;;;;;;;;;;;x
VIET_opinion_inappropriate_speech;Inappropriate Speech;;;;;;;;;;;;x
VIET_province_bridge_collapse;Recent Bridge Collapse;;;;;;;;;;;;x
VIET_province_bridge_collapse_desc;A bridge recently collapsed in this region. It was a major one, serving as a major connector between various settlements and facilitating trade. Even the briefest interruption will have undesirable consequences to the local economy.;;;;;;;;;;;;x
VIET_helped_emergency_quickly;Quickly Aided Locals During Emergency;;;;;;;;;;;;x
VIET_helped_emergency_quickly_desc;This character used their leadership to help pull together the local populace during a recent emergency.;;;;;;;;;;;;x
VIET_ignored_emergency;Ignored Locals During Emergency;;;;;;;;;;;;x
VIET_ignored_emergency_desc;Despite having the responsibility to do so, this character ignored the plight of the local populace under their protection during a recent emergency.;;;;;;;;;;;;x
VIET_province_mysterious_colors;Mysterious Colors in the Sky;;;;;;;;;;;;x
VIET_province_mysterious_colors_desc;A strange phenomenon has been reported in the area - at random times during the day, the sky becomes unnatural colors such as pink. No one knows why this is happening.;;;;;;;;;;;;x
VIET_province_haunted_ship;Haunted Ship in the Sky;;;;;;;;;;;;x
VIET_province_haunted_ship_desc;Reports abound of a haunted ship, floating in the sky. It is most likely collective delusions and hallucinations, and nothing else.;;;;;;;;;;;;x
VIET_province_recent_sandstorm;Recent Sandstorm;;;;;;;;;;;;x
VIET_province_recent_sandstorm_desc;A sandstorm recently swept through the region, killing many and causing much damage.;;;;;;;;;;;;x
VIET_touched_poop;Got Hands Dirty;;;;;;;;;;;;x
VIET_touched_poop_desc;This character recently got their hands in some unsanitary excrement due to their irrational dedication to their workaholic tendencies....;;;;;;;;;;;;x
VIET_thinking_about_foreign_lands;Thinking About Foreign Lands;;;;;;;;;;;;x
VIET_thinking_about_foreign_lands_desc;This character has been contemplating the peoples, customs, and geographies of faraway realms as of late.;;;;;;;;;;;;x
VIET_girl_power;Supports Female Empowerment;;;;;;;;;;;;x
VIET_girl_power_desc;"Things would surely be better if women were in charge... right?";;;;;;;;;;;;x
VIET_chinese_rumors;Tales from China;;;;;;;;;;;;x
VIET_chinese_rumors_desc;This character is interested in the latest news and stories from China. Whether these stories are true, of course, is another matter altogether.;;;;;;;;;;;;x
VIET_sexist_against_women;Looks Down on Women;;;;;;;;;;;;x
VIET_sexist_against_women_desc;"I have nothing against women - why, my own mother was a woman! They are merely inferior to men. It's just logical!";;;;;;;;;;;;x
VIET_nerd_hates_sports;Hates Sports;;;;;;;;;;;;x
VIET_nerd_hates_sports_desc;This character recently made it clear that they don't like sports.;;;;;;;;;;;;x
VIET_opinion_patron;Patronized Me;;;;;;;;;;;;x
VIET_opinion_amazing_court_singer;Amazing Court Singer;;;;;;;;;;;;x
VIET_famous_bard_province;Famous Bard;;;;;;;;;;;;x
VIET_famous_bard_province_desc;A bard whose poetry and song is of peerless quality dwells in this land. Yet despite his talents, he refuses to perform for the rich and powerful, and instead goes around the various villages and towns in the region, inspiring the locals and commoners to do great deeds.;;;;;;;;;;;;x
VIET_province_flat_stone;Ancient Stone Monument;;;;;;;;;;;;x
VIET_province_flat_stone_desc;A single flat stone of considerable size lies somewhere in the wilderness of this province. It must have been carved by bygone peoples from centuries ago, though local attributes some miraculous properties to it. It is too large to be re-used, so it continues to sit, watching the world around it for all eternity.;;;;;;;;;;;;x
VIET_amazing_singer_modifier;Amazing Singer;;;;;;;;;;;;x
VIET_amazing_singer_modifier_desc;This woman is an amazing singer and musician. Even when she sings a simple children's song, she can enchant and soften the most stone-cold of hearts.;;;;;;;;;;;;x
VIET_amazing_singer_husbando_modifier;Husband of Amazing Singer;;;;;;;;;;;;x
VIET_amazing_singer_husbando_modifier_desc;This man is or was married to one of the greatest singers and musicians of their generation. Though he did or does not have as much fame as she did or does, he still reaps some benefits from it.;;;;;;;;;;;;x
VIET_opinion_interrupted_secret_conversation;Interrupted Secret Conversation;;;;;;;;;;;;x
VIET_opinion_suspicious_conversation;Suspicious Conversation;;;;;;;;;;;;x
VIET_read_book_romance;Recently Read a Romance Novel;;;;;;;;;;;;x
VIET_read_book_romance_desc;"I pray, sir, tell me, is it possible\nThat love should of a sudden take such hold?";;;;;;;;;;;;x
VIET_read_book_gritty;Recently Read a Gritty, Dark Novel;;;;;;;;;;;;x
VIET_read_book_gritty_desc;Some people think darkness, nihilism, and filling a story with tons of mindless fornication and bloodshed somehow makes a story better. This character is one such deluded person.;;;;;;;;;;;;x
VIET_read_book_fantasy;Recently Read a Fantastical Adventure Novel;;;;;;;;;;;;x
VIET_read_book_fantasy_desc;"It's a dangerous business, going out your door. You step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.";;;;;;;;;;;;x
VIET_read_book_slice_of_life;Recently Read an Amusing Collection of Slice of Life Stories;;;;;;;;;;;;x
VIET_read_book_slice_of_life_desc;"Humans have a desire for truth or they have a desire to what they know is the truth. In other words, what the truth is exactly second to that. Be careful of what is the truth and what is lie. In other words, always doubt yourself. Harbor an inner devil as you read along... and I won't forget to add that by that point, you might have already fallen into my trap.";;;;;;;;;;;;x
VIET_minty_fresh_breath;Minty Fresh Breath;;;;;;;;;;;;x
